τ_H,τ_M,τ_H_2,τ_M_2,T,τ_M_4
0.038015838740758985,-0.010650885953300078,0.037758832152773154,-0.010324778575849236,2.43,-0.008319387825266908
-0.014619574022207874,-0.024800952753215123,-0.014376858192115897,-0.028840037040439758,2.42,-0.02435587644273809
-0.02213199399326714,-0.007324381030552431,-0.022207370167822683,0.011335676879512998,2.41,0.03176808313756445
-0.0023052981611047956,0.020949554620951556,-0.0019391432802876847,0.032401292011768036,2.4,0.05053657025077285
-0.025949397288545263,-0.01656987498067744,-0.026617082942278183,-0.008965420082419259,2.39,-0.011368965344370874
0.013466211935309816,-0.009557196160159386,0.01316213755788587,-0.004164624770078452,2.38,0.009030737765258326
-0.005262798025935184,-0.023509863492369963,-0.005740028377441202,-0.03399074886317054,2.37,-0.023951419929481382
-0.030632938435144683,-0.013199402378527778,-0.028980929790938165,0.02422612355728268,2.36,0.06936041134471033
0.07847399242746218,-0.02876011302582158,0.0807226088184496,-0.014997109574349767,2.35,-0.0013702508691060791
1.1086073276015872e-6,-0.0870833294600447,-0.002211257667815691,-0.08917611363483857,2.34,-0.07624537785262829
0.03122085573521099,0.07997310208872925,0.03157031162698427,0.08649150162749776,2.33,0.05778110238360733
-0.02282443663037478,-0.08154361626537628,-0.021555279324148215,-0.080439182001877,2.32,-0.06365919227586221
0.01701454242572655,-0.020959826409648396,0.017371028559457314,-0.021627134030726476,2.31,-0.0268934213880109
-0.06397614456146089,-0.06841482152911081,-0.06413530963458139,-0.06755991891533442,2.3,-0.051600399508859134
0.06739128035070016,0.048136236161911615,0.0685364032093731,0.058096266626849746,2.29,0.05438526504205217
-0.022137795493773104,0.03308890762220856,-0.02184049896092706,0.029203685547065976,2.28,0.0359195963195262
-0.025419654212127482,-0.0029123254894143635,-0.025630131677294797,-0.0032675356242753777,2.27,-0.006100431050114131
0.013745054365239916,-0.01603910795216723,0.013676858169640848,-0.014056988752317012,2.26,-0.006716458291197654
-0.03476951434842101,0.030853709483180645,-0.033223958314398616,0.027718363946057385,2.25,0.02748970151258264
-0.05757638687479493,-0.06175061615203321,-0.0579374604968318,-0.05420543243836003,2.24,-0.040217289894228354
-0.010196167115862869,-0.0074600405778460395,-0.010685312010137673,-0.011436618172819546,2.23,-0.012589716513982867
0.04498097699961861,0.024586453347343537,0.04365034943621509,0.026398283837229017,2.22,0.027368727645751274
-0.042767366465432444,-0.007361772956437781,-0.04282313556726803,-0.008706647417145339,2.21,-0.012130583996812183
-0.014141554159796057,0.036136012722358266,-0.014306366673614564,0.029573600911495253,2.2,0.019882091735712853
0.07842668084104071,0.014846608808155597,0.07913712219520284,0.016273973365107507,2.19,0.01739411477090645
-0.011542168335966534,-0.015599861332596025,-0.011141169191275856,-0.014991241464296845,2.18,-0.013981341876208794
0.024589913908116913,0.02508615669103484,0.02496938252652779,0.02706285381773469,2.17,0.030069525270323375
0.06102022883039764,0.039343852513218355,0.06054229789910639,0.04034554040305715,2.16,0.04223000651255918
-0.02762586786813038,-0.04768435479929273,-0.027664655048698666,-0.04767479303123987,2.15,-0.04743684100207126
0.03139830859588735,0.013606310032257433,0.030912816372051972,0.015043200393873897,2.14,0.017771847192914823
0.06878506528004491,0.04525870667663695,0.06865431466154913,0.04666955690610802,2.13,0.04894996759735485
-0.023016744035865986,-0.009581344281546339,-0.022887452839891274,-0.010761438456612472,2.12,-0.012915789377518975
0.0173887976388649,0.03740154947149601,0.017624104101542984,0.039228700856255364,2.11,0.0422129315755798
-0.013675233454378977,-0.014732863397563021,-0.013221997868097446,-0.015122334682094805,2.1,-0.01588890661224225
-0.0034519380478448495,-0.011407933501322461,-0.0025677763623037893,-0.010363547680913802,2.09,-0.008287059566692118
-0.007738525959183736,-0.02738695941927809,-0.007474947959824945,-0.02747349659401055,2.08,-0.02755571686711094
0.01258556875476474,0.035954344066780365,0.012367528231109624,0.03573468636556288,2.07,0.03514163118025795
-0.012055598815615586,0.006857711591924059,-0.012782163493984132,0.005973578817054265,2.06,0.004145132252188718
0.01945486992944444,0.028385113181649366,0.01904375330602067,0.029023816767945205,2.05,0.030159450202546942
-0.012531188623152311,-0.002720619846432919,-0.012069504227916623,-0.0014448696260022514,2.04,0.0010377932244758335
0.016818328635388277,0.01597281134140676,0.01794244831368645,0.016342270117628958,2.03,0.01711312554555209
-0.0015852661510206984,-0.06493537213133974,-0.0013869944401344093,-0.06504974283714617,2.02,-0.06523437000984542
0.01815950183134392,0.017424193555924363,0.0188992439393462,0.01753181731500453,2.01,0.017773596859169592
-0.039982150529099175,-0.030918910353912542,-0.04010380616532735,-0.03115014090835312,2.0,-0.03156657268367398
